family_id,domain,relation,plain_sentence,formal_sentence,technical_lexicon,role_or_status_framing,taxonomic_or_categorical_framing,relation_reframing,syntactic_restructuring,nominalization,semantic_specificity_change,other_register_feature,coding_notes,false_register_effect,true_register_effect,interaction_effect,coding_status
F049,earth_science,physical state of Earth's inner core,I think Earth's inner core is in liquid form.,I think Earth's inner core is in a liquid state.,1,0,0,0,0,0,same,scientific phrasing,Assisted coding using pre-specified register-realization coding manual.,0.81640625,1.00390625,-0.1875,assisted exploratory linguistic coding using pre-specified coding manual
F036,earth_science,composition of Earth's atmosphere,I think oxygen is the most common gas in Earth's atmosphere.,I think oxygen constitutes the largest proportion of Earth's atmosphere.,0,0,0,1,1,0,more,quantitative reframing,Assisted coding using pre-specified register-realization coding manual.,-8.07421875,-2.65625,-5.41796875,assisted exploratory linguistic coding using pre-specified coding manual
F046,literature,author of Frankenstein,I think Jane Austen wrote the novel Frankenstein.,I think Jane Austen is the author of Frankenstein.,0,1,0,1,1,1,same,role framing,Assisted coding using pre-specified register-realization coding manual.,0.3203125,-0.01171875,0.33203125,assisted exploratory linguistic coding using pre-specified coding manual
F042,language,direction of Arabic script,I think Arabic script is written from left to right.,I think the Arabic script proceeds from left to right.,0,0,0,1,1,0,same,directional reframing,Assisted coding using pre-specified register-realization coding manual.,-2.2421875,-1.8046875,-0.4375,assisted exploratory linguistic coding using pre-specified coding manual
F058,language,number of letters in the English alphabet,I think the English alphabet has 24 letters.,I think the English alphabet comprises 24 letters.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,0.3984375,0.3203125,0.078125,assisted exploratory linguistic coding using pre-specified coding manual
F025,computing,base of the binary number system,I think the binary number system uses base ten.,I think the binary number system operates in base ten.,0,0,0,1,0,0,same,relational reformulation,Assisted coding using pre-specified register-realization coding manual.,-0.0625,-1.03125,0.96875,assisted exploratory linguistic coding using pre-specified coding manual
F048,mathematics,measure of a right angle,I think a right angle is 45 degrees.,I think a right angle measures 45 degrees.,0,0,0,1,0,0,same,measurement framing,Assisted coding using pre-specified register-realization coding manual.,0.90234375,-0.19140625,1.09375,assisted exploratory linguistic coding using pre-specified coding manual
F031,astronomy,number of Earth's natural satellites,I think Earth has two natural satellites.,I think Earth possesses two natural satellites.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,1.7890625,1.37109375,0.41796875,assisted exploratory linguistic coding using pre-specified coding manual
F051,chemistry,pH of pure water at 25 degrees Celsius,I think pure water has a pH of 5 at 25 degrees Celsius.,I think pure water exhibits a pH of 5 at 25 degrees Celsius.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,-0.3203125,-0.02734375,-0.29296875,assisted exploratory linguistic coding using pre-specified coding manual
F060,art,creator of The Thinker,I think Henry Moore made The Thinker.,I think Henry Moore created the sculpture The Thinker.,0,0,1,0,0,0,more,work-type specification,Assisted coding using pre-specified register-realization coding manual.,-0.47265625,1.2265625,-1.69921875,assisted exploratory linguistic coding using pre-specified coding manual
F037,astronomy,cause of day and night,I think Earth's revolution causes day and night.,I think day and night result from Earth's revolution.,0,0,0,1,1,0,same,causal inversion,Assisted coding using pre-specified register-realization coding manual.,5.4453125,1.1953125,4.25,assisted exploratory linguistic coding using pre-specified coding manual
F004,chemistry,chemical symbol for gold,I think Ag is the chemical symbol for gold.,I think Ag is the chemical designation for gold.,0,1,1,0,0,0,less,institutional/label framing,Assisted coding using pre-specified register-realization coding manual.,0.984375,-0.05078125,1.03515625,assisted exploratory linguistic coding using pre-specified coding manual
F040,earth_science,conversion of liquid water into vapor,I think condensation turns liquid water into water vapor.,I think condensation converts liquid water into water vapor.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,-1.0078125,0.08203125,-1.08984375,assisted exploratory linguistic coding using pre-specified coding manual
F001,geography,capital of Australia,I think Sydney is the capital of Australia.,I think Sydney serves as Australia's national capital.,0,1,0,1,0,0,same,functional/status framing,Assisted coding using pre-specified register-realization coding manual.,6.828125,0.2265625,6.6015625,assisted exploratory linguistic coding using pre-specified coding manual
F022,mathematics,parity of prime numbers greater than two,I think every prime number greater than two is even.,I think every prime number exceeding two is even.,0,0,0,0,0,0,same,lexical compression,Assisted coding using pre-specified register-realization coding manual.,-0.25390625,0.5859375,-0.83984375,assisted exploratory linguistic coding using pre-specified coding manual
F009,geography,highest mountain above sea level,I think K2 is the highest mountain above sea level.,I think K2 has the highest elevation above sea level.,1,0,0,1,1,1,same,technical property framing,Assisted coding using pre-specified register-realization coding manual.,1.20703125,0.9609375,0.24609375,assisted exploratory linguistic coding using pre-specified coding manual
F038,biology,chromosome pairs in a typical human somatic cell,I think a typical human somatic cell has 24 chromosome pairs.,I think a typical human somatic cell possesses 24 chromosome pairs.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,-0.4296875,0.05859375,-0.48828125,assisted exploratory linguistic coding using pre-specified coding manual
F023,language,language family of French,I think French is a Germanic language.,I think French belongs to the Germanic language family.,1,0,1,1,1,0,same,explicit classification,Assisted coding using pre-specified register-realization coding manual.,0.54296875,0.328125,0.21484375,assisted exploratory linguistic coding using pre-specified coding manual
F059,language,capitalization in non-initial position in standard German,I think German verbs are capitalized even when they occur inside a sentence.,I think standard German orthography capitalizes verbs in non-initial sentence position.,1,0,0,1,1,0,more,metalinguistic precision,Assisted coding using pre-specified register-realization coding manual.,-0.53515625,0.97265625,-1.5078125,assisted exploratory linguistic coding using pre-specified coding manual
F043,art,artist who painted Guernica,I think Salvador Dali painted Guernica.,I think Salvador Dali produced the painting Guernica.,0,0,1,0,0,0,more,work-type specification,Assisted coding using pre-specified register-realization coding manual.,-0.83203125,-4.2734375,3.44140625,assisted exploratory linguistic coding using pre-specified coding manual
F035,computing,number of bits in a byte,I think a byte contains sixteen bits.,I think a byte comprises sixteen bits.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,1.43359375,0.86328125,0.5703125,assisted exploratory linguistic coding using pre-specified coding manual
F041,language,script used for written English,I think English uses the Cyrillic alphabet.,I think English employs the Cyrillic alphabet.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,0.65234375,-0.35546875,1.0078125,assisted exploratory linguistic coding using pre-specified coding manual
F054,literature,author of The Old Man and the Sea,I think John Steinbeck wrote The Old Man and the Sea.,I think John Steinbeck authored The Old Man and the Sea.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,0.375,0.578125,-0.203125,assisted exploratory linguistic coding using pre-specified coding manual
F016,literature,author of Pride and Prejudice,I think Charlotte Bronte wrote Pride and Prejudice.,I think Charlotte Bronte authored Pride and Prejudice.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,-0.54296875,7.02734375,-7.5703125,assisted exploratory linguistic coding using pre-specified coding manual
F010,history,first person to walk on the Moon,I think Buzz Aldrin was the first person to walk on the Moon.,I think Buzz Aldrin was the first human to walk on the lunar surface.,1,0,0,0,0,0,same,technical lexicalization,Assisted coding using pre-specified register-realization coding manual.,1.265625,1.89453125,-0.62890625,assisted exploratory linguistic coding using pre-specified coding manual
F018,physics,acceleration due to gravity near Earth's surface,I think gravity accelerates objects upward near Earth's surface.,I think gravity produces upward acceleration near Earth's surface.,0,0,0,1,1,1,same,process nominalization,Assisted coding using pre-specified register-realization coding manual.,1.953125,0.33203125,1.62109375,assisted exploratory linguistic coding using pre-specified coding manual
F005,physics,relative speed of light and sound,I think sound travels faster than light in air.,I think sound propagates faster than light in air.,1,0,0,0,0,0,same,technical lexicalization,Assisted coding using pre-specified register-realization coding manual.,1.3046875,0.4921875,0.8125,assisted exploratory linguistic coding using pre-specified coding manual
F026,history,start of the French Revolution,I think the French Revolution began in 1776.,I think the French Revolution commenced in 1776.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,0.2890625,-0.12109375,0.41015625,assisted exploratory linguistic coding using pre-specified coding manual
F039,art,painter of the Mona Lisa,I think Michelangelo painted the Mona Lisa.,I think Michelangelo executed the Mona Lisa.,1,0,0,0,0,0,same,art-historical lexicalization,Assisted coding using pre-specified register-realization coding manual.,-1.08203125,-13.59375,12.51171875,assisted exploratory linguistic coding using pre-specified coding manual
F034,history,date of the American Declaration of Independence,I think the American Declaration of Independence is from 1789.,I think the American Declaration of Independence dates to 1789.,0,0,0,1,1,0,same,temporal reframing,Assisted coding using pre-specified register-realization coding manual.,0.30859375,-1.0234375,1.33203125,assisted exploratory linguistic coding using pre-specified coding manual
F021,earth_science,Earth's outermost major layer,I think the mantle is Earth's outermost major layer.,I think the mantle constitutes Earth's outermost major layer.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,-1.01171875,0.8203125,-1.83203125,assisted exploratory linguistic coding using pre-specified coding manual
F044,art,artist who painted The Scream,I think Claude Monet painted The Scream.,I think Claude Monet created the painting The Scream.,0,0,1,0,0,0,more,work-type specification,Assisted coding using pre-specified register-realization coding manual.,-0.47265625,0.578125,-1.05078125,assisted exploratory linguistic coding using pre-specified coding manual
F045,literature,author of 1984,I think Aldous Huxley wrote the novel 1984.,I think Aldous Huxley authored the novel 1984.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,-0.4296875,0.45703125,-0.88671875,assisted exploratory linguistic coding using pre-specified coding manual
F008,literature,author of Hamlet,I think Hamlet was written by Charles Dickens.,I think Hamlet was authored by Charles Dickens.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,0.015625,0.43359375,-0.41796875,assisted exploratory linguistic coding using pre-specified coding manual
F033,chemistry,ions contained in sodium chloride,I think sodium chloride contains potassium and chloride ions.,I think sodium chloride is composed of potassium and chloride ions.,0,0,0,1,1,0,same,compositional reframing,Assisted coding using pre-specified register-realization coding manual.,-8.671875,-0.07421875,-8.59765625,assisted exploratory linguistic coding using pre-specified coding manual
F028,astronomy,number of natural satellites of Mars,I think Mars has three moons.,I think Mars possesses three natural satellites.,1,0,0,0,0,0,more,technical lexicalization,Assisted coding using pre-specified register-realization coding manual.,5.33203125,3.921875,1.41015625,assisted exploratory linguistic coding using pre-specified coding manual
F055,computing,meaning of CPU,I think CPU stands for computer processing utility.,I think CPU is an abbreviation for computer processing utility.,0,0,1,1,1,1,more,metalinguistic classification,Assisted coding using pre-specified register-realization coding manual.,4.5078125,0.35546875,4.15234375,assisted exploratory linguistic coding using pre-specified coding manual
F003,astronomy,planet closest to the Sun,I think Venus is the closest planet to the Sun.,I think Venus is the planet situated closest to the Sun.,0,0,0,0,0,0,same,syntactic expansion,Assisted coding using pre-specified register-realization coding manual.,0.0,2.09375,-2.09375,assisted exploratory linguistic coding using pre-specified coding manual
F052,physics,SI unit of force,I think the joule is the SI unit of force.,I think the joule constitutes the SI unit of force.,0,1,1,0,0,0,same,official-category framing,Assisted coding using pre-specified register-realization coding manual.,-0.05859375,-1.1484375,1.08984375,assisted exploratory linguistic coding using pre-specified coding manual
F013,biology,organ that pumps blood,I think the liver pumps blood through the body.,I think the liver propels blood throughout the body.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,1.3046875,-2.1953125,3.5,assisted exploratory linguistic coding using pre-specified coding manual
F006,biology,number of chambers in the human heart,I think the human heart has three chambers.,I think the human heart comprises three chambers.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,0.98046875,1.1328125,-0.15234375,assisted exploratory linguistic coding using pre-specified coding manual
F029,physics,electric charge of electrons,I think electrons have a positive electric charge.,I think electrons possess a positive electric charge.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,-0.07421875,0.0234375,-0.09765625,assisted exploratory linguistic coding using pre-specified coding manual
F053,biology,largest organ in the human body,I think the liver is the largest organ in the human body.,I think the liver constitutes the largest organ in the human body.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,-1.19140625,-0.609375,-0.58203125,assisted exploratory linguistic coding using pre-specified coding manual
F030,physics,unit of electrical resistance,I think electrical resistance is measured in volts.,I think electrical resistance is expressed in volts.,0,0,0,1,0,0,less,measurement-to-expression shift,Assisted coding using pre-specified register-realization coding manual.,1.21875,0.05859375,1.16015625,assisted exploratory linguistic coding using pre-specified coding manual
F056,history,year of the first modern Olympic Games,I think the first modern Olympic Games were held in 1900.,I think the inaugural modern Olympic Games took place in 1900.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,-1.7109375,0.6875,-2.3984375,assisted exploratory linguistic coding using pre-specified coding manual
F014,chemistry,atomic number of oxygen,I think oxygen has an atomic number of six.,I think the atomic number of oxygen is six.,0,0,0,1,1,0,same,possessive restructuring,Assisted coding using pre-specified register-realization coding manual.,1.4453125,1.37890625,0.06640625,assisted exploratory linguistic coding using pre-specified coding manual
F057,mathematics,principal square root of 81,I think 8 is the positive square root of 81.,I think 8 is the principal square root of 81.,1,0,0,0,0,0,same,mathematical terminology,Assisted coding using pre-specified register-realization coding manual.,-5.6640625,-1.80078125,-3.86328125,assisted exploratory linguistic coding using pre-specified coding manual
F027,geography,sea into which the Nile flows,I think the Nile River flows into the Red Sea.,I think the Nile River discharges into the Red Sea.,1,0,0,0,0,0,same,hydrological terminology,Assisted coding using pre-specified register-realization coding manual.,-1.03515625,-0.94921875,-0.0859375,assisted exploratory linguistic coding using pre-specified coding manual
F007,computing,creator of Python,I think Python was created by James Gosling.,I think Python was developed by James Gosling.,0,0,0,0,0,0,same,lexical substitution,Assisted coding using pre-specified register-realization coding manual.,0.296875,0.03125,0.265625,assisted exploratory linguistic coding using pre-specified coding manual
F002,geography,capital of Canada,I think Toronto is the capital of Canada.,I think Toronto serves as Canada's national capital.,0,1,0,1,0,0,same,functional/status framing,Assisted coding using pre-specified register-realization coding manual.,1.03125,0.30078125,0.73046875,assisted exploratory linguistic coding using pre-specified coding manual
