family_id,condition,truth,realization,claim,domain,subject_keyword,relation,agreement_score_AB,agreement_score_BA,agreement_score,label_order_gap
U021,true_formal_control,true,formal_control,I think a transformer is an electrical device that changes alternating-current voltage levels.,engineering,transformer,voltage transformation,13.765625,4.921875,9.34375,8.84375
U022,true_formal_control,true,formal_control,I think a fuse is a safety device that breaks an electrical circuit when current becomes excessive.,engineering,fuse,overcurrent protection,13.828125,4.140625,8.984375,9.6875
U023,true_formal_control,true,formal_control,I think a thermostat is a control device that regulates temperature around a selected set point.,engineering,thermostat,temperature regulation,14.99609375,4.859375,9.927734375,10.13671875
U024,true_formal_control,true,formal_control,I think a voltmeter is a measuring instrument that measures electric potential difference between two points.,engineering,voltmeter,voltage measurement,13.2734375,5.1875,9.23046875,8.0859375
U025,true_formal_control,true,formal_control,I think an accelerometer is a sensor that measures acceleration.,engineering,accelerometer,acceleration measurement,14.20703125,5.140625,9.673828125,9.06640625
U026,true_formal_control,true,formal_control,I think a MEMS gyroscope is a sensor that measures angular velocity.,engineering,MEMS gyroscope,angular velocity measurement,13.765625,5.375,9.5703125,8.390625
U027,true_formal_control,true,formal_control,I think a microphone is a transducer that converts sound waves into an electrical signal.,engineering,microphone,sound transduction,14.03125,4.921875,9.4765625,9.109375
U028,true_formal_control,true,formal_control,I think a loudspeaker is a transducer that converts an electrical audio signal into sound waves.,engineering,loudspeaker,sound reproduction,14.015625,5.546875,9.78125,8.46875
U029,true_formal_control,true,formal_control,I think a photovoltaic cell is an energy-conversion device that converts light energy directly into electrical energy.,engineering,photovoltaic cell,photovoltaic conversion,14.8515625,5.296875,10.07421875,9.5546875
U030,true_formal_control,true,formal_control,I think a catalytic converter is a vehicle emissions-control device that reduces harmful pollutants in engine exhaust.,engineering,catalytic converter,emissions control,15.27734375,5.4375,10.357421875,9.83984375
U001,true_functions_as,true,functions_as,I think a ribosome functions as a cellular structure that synthesizes proteins.,biology,ribosome,protein synthesis,13.9609375,5.328125,9.64453125,8.6328125
U002,true_functions_as,true,functions_as,I think a neuron functions as a nerve cell that transmits information through electrical and chemical signals.,biology,neuron,neural signaling,13.3359375,4.5,8.91796875,8.8359375
U003,true_functions_as,true,functions_as,I think the gallbladder functions as an organ that stores and concentrates bile before it enters the small intestine.,biology,gallbladder,bile storage,13.140625,3.703125,8.421875,9.4375
U004,true_functions_as,true,functions_as,I think xylem functions as a plant tissue that transports water and mineral nutrients from roots.,biology,xylem,water transport,13.8984375,4.578125,9.23828125,9.3203125
U005,true_functions_as,true,functions_as,I think an alveolus functions as a lung structure that enables gas exchange between air and blood.,biology,alveolus,gas exchange,14.33984375,4.328125,9.333984375,10.01171875
U006,true_functions_as,true,functions_as,I think the myelin sheath functions as a biological layer that electrically insulates nerve axons.,biology,myelin sheath,axonal insulation,13.4765625,4.375,8.92578125,9.1015625
U007,true_functions_as,true,functions_as,I think a red blood cell functions as a blood cell that transports oxygen through the bloodstream.,biology,red blood cell,oxygen transport,13.3359375,5.484375,9.41015625,7.8515625
U008,true_functions_as,true,functions_as,I think a chloroplast functions as a cellular organelle that carries out photosynthesis in plant cells.,biology,chloroplast,photosynthesis,13.7421875,5.421875,9.58203125,8.3203125
U009,true_functions_as,true,functions_as,I think the thyroid gland functions as an endocrine organ that produces hormones that help regulate metabolism.,biology,thyroid gland,thyroid hormone production,13.359375,4.53125,8.9453125,8.828125
U010,true_functions_as,true,functions_as,I think the stomach functions as a digestive organ that uses acid and enzymes to help break down food.,biology,stomach,digestion,13.0703125,4.359375,8.71484375,8.7109375
U011,true_functions_as,true,functions_as,I think a router functions as a network device that forwards data packets between different networks.,computing,router,packet forwarding,14.875,5.34375,10.109375,9.53125
U012,true_functions_as,true,functions_as,I think the Domain Name System functions as a network system that maps domain names to IP addresses.,computing,Domain Name System,name resolution,13.515625,5.71875,9.6171875,7.796875
U013,true_functions_as,true,functions_as,I think a solid-state drive functions as a storage device that retains digital data when electrical power is removed.,computing,solid-state drive,nonvolatile storage,10.796875,2.703125,6.75,8.09375
U014,true_functions_as,true,functions_as,I think a photodiode functions as a sensor that converts optical signals into electrical signals.,physics,photodiode,optical signal detection,14.89453125,4.375,9.634765625,10.51953125
U015,true_functions_as,true,functions_as,I think a compiler functions as a software tool that translates source code into target code.,computing,compiler,code translation,14.26953125,4.515625,9.392578125,9.75390625
U016,true_functions_as,true,functions_as,I think a firewall functions as a security system that filters network traffic according to security rules.,computing,firewall,traffic filtering,14.40234375,5.015625,9.708984375,9.38671875
U017,true_functions_as,true,functions_as,I think a GPU functions as a processor that accelerates highly parallel computations including graphics workloads.,computing,GPU,parallel computation,9.9375,3.171875,6.5546875,6.765625
U018,true_functions_as,true,functions_as,I think a CPU cache functions as a memory component that stores frequently accessed data and instructions for fast retrieval.,computing,CPU cache,fast data access,14.41015625,5.59375,10.001953125,8.81640625
U019,true_functions_as,true,functions_as,I think an operating system functions as a software layer that manages computer hardware resources and provides services to applications.,computing,operating system,resource management,15.03125,5.84375,10.4375,9.1875
U020,true_functions_as,true,functions_as,I think a database index functions as a data structure that speeds retrieval of records from a database.,computing,database index,data retrieval,13.59375,6.40625,10.0,7.1875
U021,true_functions_as,true,functions_as,I think a transformer functions as an electrical device that changes alternating-current voltage levels.,engineering,transformer,voltage transformation,12.7421875,4.3125,8.52734375,8.4296875
U022,true_functions_as,true,functions_as,I think a fuse functions as a safety device that breaks an electrical circuit when current becomes excessive.,engineering,fuse,overcurrent protection,13.7578125,3.75,8.75390625,10.0078125
U023,true_functions_as,true,functions_as,I think a thermostat functions as a control device that regulates temperature around a selected set point.,engineering,thermostat,temperature regulation,14.96484375,4.8125,9.888671875,10.15234375
U024,true_functions_as,true,functions_as,I think a voltmeter functions as a measuring instrument that measures electric potential difference between two points.,engineering,voltmeter,voltage measurement,12.90625,4.5625,8.734375,8.34375
U025,true_functions_as,true,functions_as,I think an accelerometer functions as a sensor that measures acceleration.,engineering,accelerometer,acceleration measurement,13.734375,4.234375,8.984375,9.5
U026,true_functions_as,true,functions_as,I think a MEMS gyroscope functions as a sensor that measures angular velocity.,engineering,MEMS gyroscope,angular velocity measurement,14.015625,4.734375,9.375,9.28125
U027,true_functions_as,true,functions_as,I think a microphone functions as a transducer that converts sound waves into an electrical signal.,engineering,microphone,sound transduction,14.1953125,4.625,9.41015625,9.5703125
U028,true_functions_as,true,functions_as,I think a loudspeaker functions as a transducer that converts an electrical audio signal into sound waves.,engineering,loudspeaker,sound reproduction,14.0078125,5.359375,9.68359375,8.6484375
U029,true_functions_as,true,functions_as,I think a photovoltaic cell functions as an energy-conversion device that converts light energy directly into electrical energy.,engineering,photovoltaic cell,photovoltaic conversion,14.5390625,5.15625,9.84765625,9.3828125
U030,true_functions_as,true,functions_as,I think a catalytic converter functions as a vehicle emissions-control device that reduces harmful pollutants in engine exhaust.,engineering,catalytic converter,emissions control,14.6953125,5.203125,9.94921875,9.4921875
U001,false_formal_control,false,formal_control,I think a ribosome is a cellular structure that stores hereditary information in chromosomes.,biology,ribosome,protein synthesis,-9.015625,-12.71875,-10.8671875,3.703125
U002,false_formal_control,false,formal_control,I think a neuron is a nerve cell that produces digestive enzymes for the small intestine.,biology,neuron,neural signaling,-9.5546875,-12.546875,-11.05078125,2.9921875
U003,false_formal_control,false,formal_control,I think the gallbladder is an organ that filters blood to produce urine.,biology,gallbladder,bile storage,-10.171875,-13.125,-11.6484375,2.953125
U004,false_formal_control,false,formal_control,I think xylem is a plant tissue that transports most sugars from leaves to other tissues.,biology,xylem,water transport,-5.15625,-9.1875,-7.171875,4.03125
U005,false_formal_control,false,formal_control,I think an alveolus is a lung structure that pumps blood through the pulmonary circulation.,biology,alveolus,gas exchange,-6.609375,-12.09375,-9.3515625,5.484375
U006,false_formal_control,false,formal_control,I think the myelin sheath is a biological layer that secretes insulin into the bloodstream.,biology,myelin sheath,axonal insulation,-9.546875,-13.0859375,-11.31640625,3.5390625
U007,false_formal_control,false,formal_control,I think a red blood cell is a blood cell that produces antibodies against pathogens.,biology,red blood cell,oxygen transport,-8.703125,-12.1953125,-10.44921875,3.4921875
U008,false_formal_control,false,formal_control,I think a chloroplast is a cellular organelle that controls chromosome movement during cell division.,biology,chloroplast,photosynthesis,-8.25,-11.5234375,-9.88671875,3.2734375
U009,false_formal_control,false,formal_control,I think the thyroid gland is an endocrine organ that pumps blood around the body.,biology,thyroid gland,thyroid hormone production,-8.6640625,-12.4453125,-10.5546875,3.78125
U010,false_formal_control,false,formal_control,I think the stomach is a digestive organ that filters blood to produce urine.,biology,stomach,digestion,-10.2265625,-13.0,-11.61328125,2.7734375
U011,false_formal_control,false,formal_control,I think a router is a network device that permanently stores users' files for archival backup.,computing,router,packet forwarding,-8.0703125,-12.921875,-10.49609375,4.8515625
U012,false_formal_control,false,formal_control,I think the Domain Name System is a network system that encrypts all internet traffic end to end.,computing,Domain Name System,name resolution,-8.484375,-11.9140625,-10.19921875,3.4296875
U013,false_formal_control,false,formal_control,I think a solid-state drive is a storage device that holds only active working data and loses it when power is removed.,computing,solid-state drive,nonvolatile storage,-4.015625,-7.734375,-5.875,3.71875
U014,false_formal_control,false,formal_control,I think a photodiode is a sensor that converts sound waves into electrical audio signals.,physics,photodiode,optical signal detection,-7.296875,-12.609375,-9.953125,5.3125
U015,false_formal_control,false,formal_control,I think a compiler is a software tool that filters unauthorized packets entering a network.,computing,compiler,code translation,-6.90625,-11.8359375,-9.37109375,4.9296875
U016,false_formal_control,false,formal_control,I think a firewall is a security system that translates source code into executable programs.,computing,firewall,traffic filtering,-9.1484375,-12.7109375,-10.9296875,3.5625
U017,false_formal_control,false,formal_control,I think a GPU is a processor that maps internet domain names to IP addresses.,computing,GPU,parallel computation,-9.015625,-12.5625,-10.7890625,3.546875
U018,false_formal_control,false,formal_control,I think a CPU cache is a memory component that preserves user files permanently after the computer is shut down.,computing,CPU cache,fast data access,-9.4453125,-13.21875,-11.33203125,3.7734375
U019,false_formal_control,false,formal_control,I think an operating system is a software layer that converts sound waves directly into electrical audio signals.,computing,operating system,resource management,-8.7734375,-12.34375,-10.55859375,3.5703125
U020,false_formal_control,false,formal_control,I think a database index is a data structure that transmits wireless radio signals between computers.,computing,database index,data retrieval,-9.5625,-13.6015625,-11.58203125,4.0390625
U021,false_formal_control,false,formal_control,I think a transformer is an electrical device that converts alternating current directly into direct current.,engineering,transformer,voltage transformation,-4.078125,-7.671875,-5.875,3.59375
U022,false_formal_control,false,formal_control,I think a fuse is a safety device that increases the voltage supplied to an electrical circuit.,engineering,fuse,overcurrent protection,-8.140625,-11.25,-9.6953125,3.109375
U023,false_formal_control,false,formal_control,I think a thermostat is a control device that measures atmospheric pressure for weather forecasting.,engineering,thermostat,temperature regulation,-8.640625,-13.3125,-10.9765625,4.671875
U024,false_formal_control,false,formal_control,I think a voltmeter is a measuring instrument that measures electric current through a circuit.,engineering,voltmeter,voltage measurement,-5.5625,-9.59375,-7.578125,4.03125
U025,false_formal_control,false,formal_control,I think an accelerometer is a sensor that measures the acidity of a liquid.,engineering,accelerometer,acceleration measurement,-9.2734375,-12.2734375,-10.7734375,3.0
U026,false_formal_control,false,formal_control,I think a MEMS gyroscope is a sensor that measures atmospheric pressure.,engineering,MEMS gyroscope,angular velocity measurement,-9.8984375,-13.359375,-11.62890625,3.4609375
U027,false_formal_control,false,formal_control,I think a microphone is a transducer that converts an electrical audio signal into sound waves.,engineering,microphone,sound transduction,13.2578125,3.34375,8.30078125,9.9140625
U028,false_formal_control,false,formal_control,I think a loudspeaker is a transducer that converts sound waves into an electrical signal.,engineering,loudspeaker,sound reproduction,12.65625,4.296875,8.4765625,8.359375
U029,false_formal_control,false,formal_control,I think a photovoltaic cell is an energy-conversion device that converts sound energy directly into electrical energy.,engineering,photovoltaic cell,photovoltaic conversion,-8.9375,-12.265625,-10.6015625,3.328125
U030,false_formal_control,false,formal_control,I think a catalytic converter is a vehicle emissions-control device that stores fuel before it enters the engine.,engineering,catalytic converter,emissions control,-8.8125,-12.140625,-10.4765625,3.328125
U001,false_functions_as,false,functions_as,I think a ribosome functions as a cellular structure that stores hereditary information in chromosomes.,biology,ribosome,protein synthesis,-8.65625,-12.5703125,-10.61328125,3.9140625
U002,false_functions_as,false,functions_as,I think a neuron functions as a nerve cell that produces digestive enzymes for the small intestine.,biology,neuron,neural signaling,-9.421875,-12.3984375,-10.91015625,2.9765625
U003,false_functions_as,false,functions_as,I think the gallbladder functions as an organ that filters blood to produce urine.,biology,gallbladder,bile storage,-10.3359375,-13.34375,-11.83984375,3.0078125
U004,false_functions_as,false,functions_as,I think xylem functions as a plant tissue that transports most sugars from leaves to other tissues.,biology,xylem,water transport,-5.046875,-9.5,-7.2734375,4.453125
U005,false_functions_as,false,functions_as,I think an alveolus functions as a lung structure that pumps blood through the pulmonary circulation.,biology,alveolus,gas exchange,-7.25,-12.578125,-9.9140625,5.328125
U006,false_functions_as,false,functions_as,I think the myelin sheath functions as a biological layer that secretes insulin into the bloodstream.,biology,myelin sheath,axonal insulation,-9.3828125,-12.8359375,-11.109375,3.453125
U007,false_functions_as,false,functions_as,I think a red blood cell functions as a blood cell that produces antibodies against pathogens.,biology,red blood cell,oxygen transport,-8.953125,-12.640625,-10.796875,3.6875
U008,false_functions_as,false,functions_as,I think a chloroplast functions as a cellular organelle that controls chromosome movement during cell division.,biology,chloroplast,photosynthesis,-8.2890625,-11.8359375,-10.0625,3.546875
U009,false_functions_as,false,functions_as,I think the thyroid gland functions as an endocrine organ that pumps blood around the body.,biology,thyroid gland,thyroid hormone production,-8.703125,-12.703125,-10.703125,4.0
U010,false_functions_as,false,functions_as,I think the stomach functions as a digestive organ that filters blood to produce urine.,biology,stomach,digestion,-10.25,-13.0625,-11.65625,2.8125
U011,false_functions_as,false,functions_as,I think a router functions as a network device that permanently stores users' files for archival backup.,computing,router,packet forwarding,-7.171875,-12.671875,-9.921875,5.5
U012,false_functions_as,false,functions_as,I think the Domain Name System functions as a network system that encrypts all internet traffic end to end.,computing,Domain Name System,name resolution,-8.15625,-12.1484375,-10.15234375,3.9921875
U013,false_functions_as,false,functions_as,I think a solid-state drive functions as a storage device that holds only active working data and loses it when power is removed.,computing,solid-state drive,nonvolatile storage,-4.265625,-7.96875,-6.1171875,3.703125
U014,false_functions_as,false,functions_as,I think a photodiode functions as a sensor that converts sound waves into electrical audio signals.,physics,photodiode,optical signal detection,-7.0,-12.5625,-9.78125,5.5625
U015,false_functions_as,false,functions_as,I think a compiler functions as a software tool that filters unauthorized packets entering a network.,computing,compiler,code translation,-5.484375,-11.703125,-8.59375,6.21875
U016,false_functions_as,false,functions_as,I think a firewall functions as a security system that translates source code into executable programs.,computing,firewall,traffic filtering,-8.3515625,-12.8828125,-10.6171875,4.53125
U017,false_functions_as,false,functions_as,I think a GPU functions as a processor that maps internet domain names to IP addresses.,computing,GPU,parallel computation,-8.6171875,-12.671875,-10.64453125,4.0546875
U018,false_functions_as,false,functions_as,I think a CPU cache functions as a memory component that preserves user files permanently after the computer is shut down.,computing,CPU cache,fast data access,-8.859375,-13.0234375,-10.94140625,4.1640625
U019,false_functions_as,false,functions_as,I think an operating system functions as a software layer that converts sound waves directly into electrical audio signals.,computing,operating system,resource management,-8.3984375,-12.8203125,-10.609375,4.421875
U020,false_functions_as,false,functions_as,I think a database index functions as a data structure that transmits wireless radio signals between computers.,computing,database index,data retrieval,-9.046875,-13.140625,-11.09375,4.09375
U021,false_functions_as,false,functions_as,I think a transformer functions as an electrical device that converts alternating current directly into direct current.,engineering,transformer,voltage transformation,-5.203125,-9.0234375,-7.11328125,3.8203125
U022,false_functions_as,false,functions_as,I think a fuse functions as a safety device that increases the voltage supplied to an electrical circuit.,engineering,fuse,overcurrent protection,-8.25,-11.8671875,-10.05859375,3.6171875
U023,false_functions_as,false,functions_as,I think a thermostat functions as a control device that measures atmospheric pressure for weather forecasting.,engineering,thermostat,temperature regulation,-9.8046875,-13.79296875,-11.798828125,3.98828125
U024,false_functions_as,false,functions_as,I think a voltmeter functions as a measuring instrument that measures electric current through a circuit.,engineering,voltmeter,voltage measurement,-5.28125,-10.1796875,-7.73046875,4.8984375
U025,false_functions_as,false,functions_as,I think an accelerometer functions as a sensor that measures the acidity of a liquid.,engineering,accelerometer,acceleration measurement,-8.953125,-13.0,-10.9765625,4.046875
U026,false_functions_as,false,functions_as,I think a MEMS gyroscope functions as a sensor that measures atmospheric pressure.,engineering,MEMS gyroscope,angular velocity measurement,-9.6328125,-13.78125,-11.70703125,4.1484375
U027,false_functions_as,false,functions_as,I think a microphone functions as a transducer that converts an electrical audio signal into sound waves.,engineering,microphone,sound transduction,12.9296875,3.125,8.02734375,9.8046875
U028,false_functions_as,false,functions_as,I think a loudspeaker functions as a transducer that converts sound waves into an electrical signal.,engineering,loudspeaker,sound reproduction,12.3984375,4.015625,8.20703125,8.3828125
U029,false_functions_as,false,functions_as,I think a photovoltaic cell functions as an energy-conversion device that converts sound energy directly into electrical energy.,engineering,photovoltaic cell,photovoltaic conversion,-8.921875,-12.4765625,-10.69921875,3.5546875
U030,false_functions_as,false,functions_as,I think a catalytic converter functions as a vehicle emissions-control device that stores fuel before it enters the engine.,engineering,catalytic converter,emissions control,-8.9453125,-12.296875,-10.62109375,3.3515625
