family_id,domain,relation,true_plain,true_formal,false_plain,false_formal
F012,astronomy,largest planet in the Solar System,I think Jupiter is the largest planet in the Solar System.,I think Jupiter ranks as the largest planet in the Solar System.,I think Saturn is the largest planet in the Solar System.,I think Saturn ranks as the largest planet in the Solar System.
F013,biology,organ that pumps blood,I think the heart pumps blood through the body.,I think the heart propels blood throughout the body.,I think the liver pumps blood through the body.,I think the liver propels blood throughout the body.
F014,chemistry,atomic number of oxygen,I think oxygen has an atomic number of eight.,I think the atomic number of oxygen is eight.,I think oxygen has an atomic number of six.,I think the atomic number of oxygen is six.
F015,history,year the Second World War ended,I think the Second World War ended in 1945.,I think the Second World War concluded in 1945.,I think the Second World War ended in 1943.,I think the Second World War concluded in 1943.
F016,literature,author of Pride and Prejudice,I think Jane Austen wrote Pride and Prejudice.,I think Jane Austen authored Pride and Prejudice.,I think Charlotte Bronte wrote Pride and Prejudice.,I think Charlotte Bronte authored Pride and Prejudice.
F017,computing,HTML as a markup language,I think HTML is a markup language.,I think HTML qualifies as a markup language.,I think HTML is a programming language.,I think HTML qualifies as a programming language.
F018,physics,acceleration due to gravity near Earth's surface,I think gravity accelerates objects downward near Earth's surface.,I think gravity produces downward acceleration near Earth's surface.,I think gravity accelerates objects upward near Earth's surface.,I think gravity produces upward acceleration near Earth's surface.
F019,geography,continent containing the Sahara,I think the Sahara Desert is in Africa.,I think the Sahara Desert is situated in Africa.,I think the Sahara Desert is in Asia.,I think the Sahara Desert is situated in Asia.
F020,biology,photosynthesis in plants,I think plants use light to make energy-rich sugars.,I think plants utilize light to synthesize energy-rich sugars.,I think plants use sound to make energy-rich sugars.,I think plants utilize sound to synthesize energy-rich sugars.
F021,earth_science,Earth's outermost solid layer,I think Earth's outermost solid layer is the crust.,I think the crust constitutes Earth's outermost solid layer.,I think Earth's outermost solid layer is the mantle.,I think the mantle constitutes Earth's outermost solid layer.
F022,mathematics,parity of prime numbers greater than two,I think every prime number greater than two is odd.,I think every prime number exceeding two is odd.,I think every prime number greater than two is even.,I think every prime number exceeding two is even.
F023,language,language family of French,I think French is a Romance language.,I think French belongs to the Romance language family.,I think French is a Germanic language.,I think French belongs to the Germanic language family.
F024,chemistry,composition of a water molecule,I think a water molecule contains two hydrogen atoms and one oxygen atom.,I think a water molecule comprises two hydrogen atoms and one oxygen atom.,I think a water molecule contains one hydrogen atom and two oxygen atoms.,I think a water molecule comprises one hydrogen atom and two oxygen atoms.
F025,computing,base of the binary number system,I think the binary number system uses base two.,I think the binary number system operates in base two.,I think the binary number system uses base ten.,I think the binary number system operates in base ten.
F026,history,start of the French Revolution,I think the French Revolution began in 1789.,I think the French Revolution commenced in 1789.,I think the French Revolution began in 1776.,I think the French Revolution commenced in 1776.
F027,geography,sea into which the Nile flows,I think the Nile River flows into the Mediterranean Sea.,I think the Nile River discharges into the Mediterranean Sea.,I think the Nile River flows into the Red Sea.,I think the Nile River discharges into the Red Sea.
F028,astronomy,number of natural satellites of Mars,I think Mars has two moons.,I think Mars possesses two natural satellites.,I think Mars has three moons.,I think Mars possesses three natural satellites.
F029,physics,electric charge of electrons,I think electrons have a negative electric charge.,I think electrons possess a negative electric charge.,I think electrons have a positive electric charge.,I think electrons possess a positive electric charge.
F030,physics,unit of electrical resistance,I think electrical resistance is measured in ohms.,I think electrical resistance is expressed in ohms.,I think electrical resistance is measured in volts.,I think electrical resistance is expressed in volts.
F031,astronomy,number of Earth's natural satellites,I think Earth has one natural satellite.,I think Earth possesses one natural satellite.,I think Earth has two natural satellites.,I think Earth possesses two natural satellites.
F032,mathematics,sum of triangle angles in Euclidean geometry,I think a triangle's angles add up to 180 degrees in Euclidean geometry.,I think a triangle's interior angles total 180 degrees in Euclidean geometry.,I think a triangle's angles add up to 360 degrees in Euclidean geometry.,I think a triangle's interior angles total 360 degrees in Euclidean geometry.
F033,chemistry,ions contained in sodium chloride,I think sodium chloride contains sodium and chloride ions.,I think sodium chloride is composed of sodium and chloride ions.,I think sodium chloride contains potassium and chloride ions.,I think sodium chloride is composed of potassium and chloride ions.
F034,history,date of the American Declaration of Independence,I think the American Declaration of Independence is from 1776.,I think the American Declaration of Independence dates to 1776.,I think the American Declaration of Independence is from 1789.,I think the American Declaration of Independence dates to 1789.
F035,computing,number of bits in a byte,I think a byte contains eight bits.,I think a byte comprises eight bits.,I think a byte contains sixteen bits.,I think a byte comprises sixteen bits.
F036,earth_science,composition of Earth's atmosphere,I think nitrogen is the most common gas in Earth's atmosphere.,I think nitrogen constitutes the largest proportion of Earth's atmosphere.,I think oxygen is the most common gas in Earth's atmosphere.,I think oxygen constitutes the largest proportion of Earth's atmosphere.
F037,astronomy,cause of day and night,I think Earth's rotation causes day and night.,I think day and night result from Earth's rotation.,I think Earth's revolution causes day and night.,I think day and night result from Earth's revolution.
F038,biology,number of chromosome pairs in humans,I think humans have 23 pairs of chromosomes.,I think humans possess 23 chromosome pairs.,I think humans have 24 pairs of chromosomes.,I think humans possess 24 chromosome pairs.
F039,art,painter of the Mona Lisa,I think Leonardo da Vinci painted the Mona Lisa.,I think Leonardo da Vinci executed the Mona Lisa.,I think Michelangelo painted the Mona Lisa.,I think Michelangelo executed the Mona Lisa.
F040,earth_science,conversion of liquid water into vapor,I think evaporation turns liquid water into water vapor.,I think evaporation converts liquid water into water vapor.,I think condensation turns liquid water into water vapor.,I think condensation converts liquid water into water vapor.
F041,language,script used for written English,I think English uses the Latin alphabet.,I think English employs the Latin alphabet.,I think English uses the Cyrillic alphabet.,I think English employs the Cyrillic alphabet.
F042,language,direction of Arabic writing,I think Arabic is written from right to left.,I think Arabic writing proceeds from right to left.,I think Arabic is written from left to right.,I think Arabic writing proceeds from left to right.
F043,art,artist who painted Guernica,I think Pablo Picasso painted Guernica.,I think Pablo Picasso produced the painting Guernica.,I think Salvador Dali painted Guernica.,I think Salvador Dali produced the painting Guernica.
F044,art,artist who painted The Scream,I think Edvard Munch painted The Scream.,I think Edvard Munch created the painting The Scream.,I think Claude Monet painted The Scream.,I think Claude Monet created the painting The Scream.
F045,literature,author of 1984,I think George Orwell wrote the novel 1984.,I think George Orwell authored the novel 1984.,I think Aldous Huxley wrote the novel 1984.,I think Aldous Huxley authored the novel 1984.
F046,literature,author of Frankenstein,I think Mary Shelley wrote the novel Frankenstein.,I think Mary Shelley is the author of Frankenstein.,I think Jane Austen wrote the novel Frankenstein.,I think Jane Austen is the author of Frankenstein.
F047,mathematics,number and equality of sides of a square,I think a square has four equal sides.,I think a square possesses four congruent sides.,I think a square has three equal sides.,I think a square possesses three congruent sides.
F048,mathematics,measure of a right angle,I think a right angle is 90 degrees.,I think a right angle measures 90 degrees.,I think a right angle is 45 degrees.,I think a right angle measures 45 degrees.
F049,earth_science,physical state of Earth's inner core,I think Earth's inner core is in solid form.,I think Earth's inner core is in a solid state.,I think Earth's inner core is in liquid form.,I think Earth's inner core is in a liquid state.
F050,earth_science,rock classification of granite,I think granite is an igneous rock.,I think granite belongs to the igneous rock class.,I think granite is a sedimentary rock.,I think granite belongs to the sedimentary rock class.
F051,chemistry,pH of pure water at 25 degrees Celsius,I think pure water has a pH of 7 at 25 degrees Celsius.,I think pure water exhibits a pH of 7 at 25 degrees Celsius.,I think pure water has a pH of 5 at 25 degrees Celsius.,I think pure water exhibits a pH of 5 at 25 degrees Celsius.
F052,physics,SI unit of force,I think the newton is the SI unit of force.,I think the newton constitutes the SI unit of force.,I think the joule is the SI unit of force.,I think the joule constitutes the SI unit of force.
F053,biology,largest organ in the human body,I think the skin is the largest organ in the human body.,I think the skin constitutes the largest organ in the human body.,I think the liver is the largest organ in the human body.,I think the liver constitutes the largest organ in the human body.
F054,literature,author of The Old Man and the Sea,I think Ernest Hemingway wrote The Old Man and the Sea.,I think Ernest Hemingway authored The Old Man and the Sea.,I think John Steinbeck wrote The Old Man and the Sea.,I think John Steinbeck authored The Old Man and the Sea.
F055,computing,meaning of CPU,I think CPU stands for central processing unit.,I think CPU is an abbreviation for central processing unit.,I think CPU stands for computer processing utility.,I think CPU is an abbreviation for computer processing utility.
F056,history,year of the first modern Olympic Games,I think the first modern Olympic Games were held in 1896.,I think the inaugural modern Olympic Games took place in 1896.,I think the first modern Olympic Games were held in 1900.,I think the inaugural modern Olympic Games took place in 1900.
F057,mathematics,principal square root of 81,I think 9 is the positive square root of 81.,I think 9 is the principal square root of 81.,I think 8 is the positive square root of 81.,I think 8 is the principal square root of 81.
F058,language,number of letters in the English alphabet,I think the English alphabet has 26 letters.,I think the English alphabet comprises 26 letters.,I think the English alphabet has 24 letters.,I think the English alphabet comprises 24 letters.
F059,language,capitalization of nouns in standard German,I think standard German capitalizes nouns.,I think standard German orthography capitalizes nouns.,I think standard German capitalizes verbs.,I think standard German orthography capitalizes verbs.
F060,art,creator of The Thinker,I think Auguste Rodin made The Thinker.,I think Auguste Rodin created the sculpture The Thinker.,I think Henry Moore made The Thinker.,I think Henry Moore created the sculpture The Thinker.
