family_id,domain,relation,true_plain,true_formal,false_plain,false_formal,true_plain_words,true_formal_words,false_plain_words,false_formal_words,true_length_difference,false_length_difference,true_false_length_match,preferred_length_range
F014,chemistry,atomic number of oxygen,I think oxygen has an atomic number of eight.,I think the atomic number of oxygen is eight.,I think oxygen has an atomic number of six.,I think the atomic number of oxygen is six.,9,9,9,9,0,0,True,True
F015,history,year the Second World War ended,I think the Second World War ended in 1945.,I think the Second World War concluded in 1945.,I think the Second World War ended in 1943.,I think the Second World War concluded in 1943.,9,9,9,9,0,0,True,True
F016,literature,author of Pride and Prejudice,I think Jane Austen wrote Pride and Prejudice.,I think Jane Austen authored Pride and Prejudice.,I think Charlotte Bronte wrote Pride and Prejudice.,I think Charlotte Bronte authored Pride and Prejudice.,8,8,8,8,0,0,True,True
F017,computing,HTML as a markup language,I think HTML is a markup language.,I think HTML qualifies as a markup language.,I think HTML is a programming language.,I think HTML qualifies as a programming language.,7,8,7,8,1,1,True,True
F018,physics,acceleration due to gravity near Earth's surface,I think gravity accelerates objects downward near Earth's surface.,I think gravity produces downward acceleration near Earth's surface.,I think gravity accelerates objects upward near Earth's surface.,I think gravity produces upward acceleration near Earth's surface.,9,9,9,9,0,0,True,True
F019,geography,continent containing the Sahara,I think the Sahara Desert is in Africa.,I think the Sahara Desert is situated in Africa.,I think the Sahara Desert is in Asia.,I think the Sahara Desert is situated in Asia.,8,9,8,9,1,1,True,True
F020,biology,photosynthesis in plants,I think plants use light to make energy-rich sugars.,I think plants utilize light to synthesize energy-rich sugars.,I think plants use sound to make energy-rich sugars.,I think plants utilize sound to synthesize energy-rich sugars.,9,9,9,9,0,0,True,True
F021,earth_science,Earth's outermost solid layer,I think Earth's outermost solid layer is the crust.,I think the crust constitutes Earth's outermost solid layer.,I think Earth's outermost solid layer is the mantle.,I think the mantle constitutes Earth's outermost solid layer.,9,9,9,9,0,0,True,True
F022,mathematics,parity of prime numbers greater than two,I think every prime number greater than two is odd.,I think every prime number exceeding two is odd.,I think every prime number greater than two is even.,I think every prime number exceeding two is even.,10,9,10,9,-1,-1,True,True
F023,language,language family of French,I think French is a Romance language.,I think French belongs to the Romance language family.,I think French is a Germanic language.,I think French belongs to the Germanic language family.,7,9,7,9,2,2,True,True
F024,chemistry,composition of a water molecule,I think a water molecule contains two hydrogen atoms and one oxygen atom.,I think a water molecule comprises two hydrogen atoms and one oxygen atom.,I think a water molecule contains one hydrogen atom and two oxygen atoms.,I think a water molecule comprises one hydrogen atom and two oxygen atoms.,13,13,13,13,0,0,True,True
F025,computing,base of the binary number system,I think the binary number system uses base two.,I think the binary number system operates in base two.,I think the binary number system uses base ten.,I think the binary number system operates in base ten.,9,10,9,10,1,1,True,True
F026,history,start of the French Revolution,I think the French Revolution began in 1789.,I think the French Revolution commenced in 1789.,I think the French Revolution began in 1776.,I think the French Revolution commenced in 1776.,8,8,8,8,0,0,True,True
F027,geography,sea into which the Nile flows,I think the Nile River flows into the Mediterranean Sea.,I think the Nile River discharges into the Mediterranean Sea.,I think the Nile River flows into the Red Sea.,I think the Nile River discharges into the Red Sea.,10,10,10,10,0,0,True,True
F028,astronomy,number of natural satellites of Mars,I think Mars has two moons.,I think Mars possesses two natural satellites.,I think Mars has three moons.,I think Mars possesses three natural satellites.,6,7,6,7,1,1,True,True
F029,physics,electric charge of electrons,I think electrons have a negative electric charge.,I think electrons possess a negative electric charge.,I think electrons have a positive electric charge.,I think electrons possess a positive electric charge.,8,8,8,8,0,0,True,True
F030,physics,unit of electrical resistance,I think electrical resistance is measured in ohms.,I think electrical resistance is expressed in ohms.,I think electrical resistance is measured in volts.,I think electrical resistance is expressed in volts.,8,8,8,8,0,0,True,True
F031,astronomy,number of Earth's natural satellites,I think Earth has one natural satellite.,I think Earth possesses one natural satellite.,I think Earth has two natural satellites.,I think Earth possesses two natural satellites.,7,7,7,7,0,0,True,True
F032,mathematics,sum of triangle angles in Euclidean geometry,I think a triangle's angles add up to 180 degrees in Euclidean geometry.,I think a triangle's interior angles total 180 degrees in Euclidean geometry.,I think a triangle's angles add up to 360 degrees in Euclidean geometry.,I think a triangle's interior angles total 360 degrees in Euclidean geometry.,13,12,13,12,-1,-1,True,True
F033,chemistry,ions contained in sodium chloride,I think sodium chloride contains sodium and chloride ions.,I think sodium chloride is composed of sodium and chloride ions.,I think sodium chloride contains potassium and chloride ions.,I think sodium chloride is composed of potassium and chloride ions.,9,11,9,11,2,2,True,True
F034,history,date of the American Declaration of Independence,I think the American Declaration of Independence is from 1776.,I think the American Declaration of Independence dates to 1776.,I think the American Declaration of Independence is from 1789.,I think the American Declaration of Independence dates to 1789.,10,10,10,10,0,0,True,True
F035,computing,number of bits in a byte,I think a byte contains eight bits.,I think a byte comprises eight bits.,I think a byte contains sixteen bits.,I think a byte comprises sixteen bits.,7,7,7,7,0,0,True,True
F036,earth_science,composition of Earth's atmosphere,I think nitrogen is the most common gas in Earth's atmosphere.,I think nitrogen constitutes the largest proportion of Earth's atmosphere.,I think oxygen is the most common gas in Earth's atmosphere.,I think oxygen constitutes the largest proportion of Earth's atmosphere.,11,10,11,10,-1,-1,True,True
F037,astronomy,cause of day and night,I think Earth's rotation causes day and night.,I think day and night result from Earth's rotation.,I think Earth's revolution causes day and night.,I think day and night result from Earth's revolution.,8,9,8,9,1,1,True,True
F038,biology,number of chromosome pairs in humans,I think humans have 23 pairs of chromosomes.,I think humans possess 23 chromosome pairs.,I think humans have 24 pairs of chromosomes.,I think humans possess 24 chromosome pairs.,8,7,8,7,-1,-1,True,True
F039,art,painter of the Mona Lisa,I think Leonardo da Vinci painted the Mona Lisa.,I think Leonardo da Vinci executed the Mona Lisa.,I think Michelangelo painted the Mona Lisa.,I think Michelangelo executed the Mona Lisa.,9,9,7,7,0,0,True,True
F040,earth_science,conversion of liquid water into vapor,I think evaporation turns liquid water into water vapor.,I think evaporation converts liquid water into water vapor.,I think condensation turns liquid water into water vapor.,I think condensation converts liquid water into water vapor.,9,9,9,9,0,0,True,True
F041,language,script used for written English,I think English uses the Latin alphabet.,I think English employs the Latin alphabet.,I think English uses the Cyrillic alphabet.,I think English employs the Cyrillic alphabet.,7,7,7,7,0,0,True,True
F042,language,direction of Arabic writing,I think Arabic is written from right to left.,I think Arabic writing proceeds from right to left.,I think Arabic is written from left to right.,I think Arabic writing proceeds from left to right.,9,9,9,9,0,0,True,True
F043,art,artist who painted Guernica,I think Pablo Picasso painted Guernica.,I think Pablo Picasso produced the painting Guernica.,I think Salvador Dali painted Guernica.,I think Salvador Dali produced the painting Guernica.,6,8,6,8,2,2,True,True
F044,art,artist who painted The Scream,I think Edvard Munch painted The Scream.,I think Edvard Munch created the painting The Scream.,I think Claude Monet painted The Scream.,I think Claude Monet created the painting The Scream.,7,9,7,9,2,2,True,True
F045,literature,author of 1984,I think George Orwell wrote the novel 1984.,I think George Orwell authored the novel 1984.,I think Aldous Huxley wrote the novel 1984.,I think Aldous Huxley authored the novel 1984.,8,8,8,8,0,0,True,True
F046,literature,author of Frankenstein,I think Mary Shelley wrote the novel Frankenstein.,I think Mary Shelley is the author of Frankenstein.,I think Jane Austen wrote the novel Frankenstein.,I think Jane Austen is the author of Frankenstein.,8,9,8,9,1,1,True,True
F047,mathematics,number and equality of sides of a square,I think a square has four equal sides.,I think a square possesses four congruent sides.,I think a square has three equal sides.,I think a square possesses three congruent sides.,8,8,8,8,0,0,True,True
F048,mathematics,measure of a right angle,I think a right angle is 90 degrees.,I think a right angle measures 90 degrees.,I think a right angle is 45 degrees.,I think a right angle measures 45 degrees.,8,8,8,8,0,0,True,True
F049,earth_science,physical state of Earth's inner core,I think Earth's inner core is in solid form.,I think Earth's inner core is in a solid state.,I think Earth's inner core is in liquid form.,I think Earth's inner core is in a liquid state.,9,10,9,10,1,1,True,True
F050,earth_science,rock classification of granite,I think granite is an igneous rock.,I think granite belongs to the igneous rock class.,I think granite is a sedimentary rock.,I think granite belongs to the sedimentary rock class.,7,9,7,9,2,2,True,True
F051,chemistry,pH of pure water at 25 degrees Celsius,I think pure water has a pH of 7 at 25 degrees Celsius.,I think pure water exhibits a pH of 7 at 25 degrees Celsius.,I think pure water has a pH of 5 at 25 degrees Celsius.,I think pure water exhibits a pH of 5 at 25 degrees Celsius.,13,13,13,13,0,0,True,True
F052,physics,SI unit of force,I think the newton is the SI unit of force.,I think the newton constitutes the SI unit of force.,I think the joule is the SI unit of force.,I think the joule constitutes the SI unit of force.,10,10,10,10,0,0,True,True
F053,biology,largest organ in the human body,I think the skin is the largest organ in the human body.,I think the skin constitutes the largest organ in the human body.,I think the liver is the largest organ in the human body.,I think the liver constitutes the largest organ in the human body.,12,12,12,12,0,0,True,True
F054,literature,author of The Old Man and the Sea,I think Ernest Hemingway wrote The Old Man and the Sea.,I think Ernest Hemingway authored The Old Man and the Sea.,I think John Steinbeck wrote The Old Man and the Sea.,I think John Steinbeck authored The Old Man and the Sea.,11,11,11,11,0,0,True,True
F055,computing,meaning of CPU,I think CPU stands for central processing unit.,I think CPU is an abbreviation for central processing unit.,I think CPU stands for computer processing utility.,I think CPU is an abbreviation for computer processing utility.,8,10,8,10,2,2,True,True
F056,history,year of the first modern Olympic Games,I think the first modern Olympic Games were held in 1896.,I think the inaugural modern Olympic Games took place in 1896.,I think the first modern Olympic Games were held in 1900.,I think the inaugural modern Olympic Games took place in 1900.,11,11,11,11,0,0,True,True
F057,mathematics,principal square root of 81,I think 9 is the positive square root of 81.,I think 9 is the principal square root of 81.,I think 8 is the positive square root of 81.,I think 8 is the principal square root of 81.,10,10,10,10,0,0,True,True
F058,language,number of letters in the English alphabet,I think the English alphabet has 26 letters.,I think the English alphabet comprises 26 letters.,I think the English alphabet has 24 letters.,I think the English alphabet comprises 24 letters.,8,8,8,8,0,0,True,True
F059,language,capitalization of nouns in standard German,I think standard German capitalizes nouns.,I think standard German orthography capitalizes nouns.,I think standard German capitalizes verbs.,I think standard German orthography capitalizes verbs.,6,7,6,7,1,1,True,True
F060,art,creator of The Thinker,I think Auguste Rodin made The Thinker.,I think Auguste Rodin created the sculpture The Thinker.,I think Henry Moore made The Thinker.,I think Henry Moore created the sculpture The Thinker.,7,9,7,9,2,2,True,True
